#,pair_id,aspect,route,claim_A,stance_A,claim_B,stance_B,nhãn_pipeline,soft_label,BẠN_ĐỒNG_Ý?(y/n),nhãn_đúng_nếu_n,ghi_chú
1,ICLR_2021_Conference_-IXhmY16R3M:originality:ICLR_2021_Conference_-IXhmY16R3M:R2:006:ICLR_2021_Conference_-IXhmY16R3M:R3:011,originality,debate,"The contribution seems quite incremental, and the significance of the contribution is not very convincing in both theoretical and practical senses.",CONCERN,The proof technology itself is quite interesting and is based on the ideas of Lie algebras.,POSITIVE,COMPLEMENTARY,"PARTIAL_AGREEMENT:0.1667, PARTIAL_CONTRADICTION:0.1667, COMPLEMENTARY:0.6667",,,
2,ICLR_2021_Conference_-5VpoDCExrU:meaningful comparison:ICLR_2021_Conference_-5VpoDCExrU:R2:012:ICLR_2021_Conference_-5VpoDCExrU:R4:017,meaningful comparison,majority,The paper applies the Transformer model to the log representation task without comparing the proposed method to other log representation methods in the evaluation part.,CONCERN,The paper only compared with a few related methods for log-related tasks.,CONCERN,PARTIAL_AGREEMENT,"PARTIAL_AGREEMENT:0.6667, COMPLEMENTARY:0.3333",,,
3,ICLR_2021_Conference_-GLNZeVDuik:substance:ICLR_2021_Conference_-GLNZeVDuik:R1:006:ICLR_2021_Conference_-GLNZeVDuik:R4:004,substance,majority,I would encourage the authors to include generated samples/visualizations which may reflect some pathological failure modes of the algorithm.,RECOMMENDATION,The authors also make an excellent effort to gather empirical evidence in favor of their method.,POSITIVE,COMPLEMENTARY,"PARTIAL_AGREEMENT:0.3333, COMPLEMENTARY:0.6667",,,
4,ICLR_2021_Conference_-5VpoDCExrU:meaningful comparison:ICLR_2021_Conference_-5VpoDCExrU:R2:014:ICLR_2021_Conference_-5VpoDCExrU:R4:017,meaningful comparison,majority,It would be better if there is a comparison between the two different methods in the evaluation section.,RECOMMENDATION,The paper only compared with a few related methods for log-related tasks.,CONCERN,PARTIAL_AGREEMENT,"PARTIAL_AGREEMENT:0.6667, COMPLEMENTARY:0.3333",,,
5,ICLR_2021_Conference_-6vS_4Kfz0:soundness:ICLR_2021_Conference_-6vS_4Kfz0:R1:007:ICLR_2021_Conference_-6vS_4Kfz0:R2:008,soundness,majority,"It's also good that they compare against PG and EA alone as a form of ablation, given that their method is effectively a combination of these two.",POSITIVE,Results show improvement in performance but it is not clear to me why.,CONCERN,PARTIAL_AGREEMENT,"PARTIAL_AGREEMENT:0.6667, COMPLEMENTARY:0.3333",,,
6,ICLR_2021_Conference_-5W5OBfFlwX:soundness:ICLR_2021_Conference_-5W5OBfFlwX:R1:011:ICLR_2021_Conference_-5W5OBfFlwX:R2:016,soundness,debate,"While this bound is a mathematically sound statement, it does not imply anything about the difficulty of the underlying problem when T is large.",CONCERN,"Don't say your regret has a lower bound O(), which means nothing.",NEGATIVE,COMPLEMENTARY,"PARTIAL_AGREEMENT:0.3333, PARTIAL_CONTRADICTION:0.3333, COMPLEMENTARY:0.3333",,,
7,ICLR_2021_Conference_-757TnNDwIn:clarity:ICLR_2021_Conference_-757TnNDwIn:R2:010:ICLR_2021_Conference_-757TnNDwIn:R3:027,clarity,majority,The results section for unconstrained search is confusing and it is hard to make comparisons.,CONCERN,Table 2 caption could be more descriptive.,CONCERN,PARTIAL_AGREEMENT,"PARTIAL_AGREEMENT:0.6667, COMPLEMENTARY:0.3333",,,
8,ICLR_2021_Conference_-5VpoDCExrU:substance:ICLR_2021_Conference_-5VpoDCExrU:R2:015:ICLR_2021_Conference_-5VpoDCExrU:R3:006,substance,majority,There is little discussion about the results of the experiments.,CONCERN,The technical contribution of the paper is very limited.,NEGATIVE,PARTIAL_AGREEMENT,"PARTIAL_AGREEMENT:0.6667, COMPLEMENTARY:0.3333",,,
9,ICLR_2021_Conference_--gvHfE3Xf5:substance:ICLR_2021_Conference_--gvHfE3Xf5:R1:005:ICLR_2021_Conference_--gvHfE3Xf5:R2:001,substance,unanimous,"There are many nice analyses and some welcome statistics, such as shown in Figure 3.",POSITIVE,"The authors point out, rightly, that meta-learning algorithms have meta-biases and it is important to understand these, from both the scientific and engineering perspectives.",POSITIVE,COMPLEMENTARY,COMPLEMENTARY:1.0,,,
10,ICLR_2021_Conference_-GLNZeVDuik:clarity:ICLR_2021_Conference_-GLNZeVDuik:R1:009:ICLR_2021_Conference_-GLNZeVDuik:R4:006,clarity,debate,Plots comparing the training loss of different approaches would help understanding the stability of the learning algorithm.,CONCERN,Several sections are well written and have a nice natural flow.,POSITIVE,PARTIAL_AGREEMENT,"PARTIAL_AGREEMENT:0.5, COMPLEMENTARY:0.3333, UNRELATED:0.1667",,,
